lat,lon,ele,time,name,sym
-27.720430,152.439436,199.501099,2017-12-21T01:11:41Z,001,"Flag, Blue"
-27.720405,152.439494,199.208252,2017-12-21T01:24:29Z,002,"Flag, Blue"
-27.720401,152.439488,201.982605,2017-12-21T01:25:21Z,003,"Flag, Blue"
-27.720370,152.439505,197.274780,2017-12-21T01:31:06Z,004,"Flag, Blue"
-27.720407,152.439602,193.425415,2017-12-21T01:37:41Z,005,"Flag, Blue"
-27.720479,152.439643,196.021027,2017-12-21T01:40:21Z,006,"Flag, Blue"
-27.720439,152.439617,193.345657,2017-12-21T01:54:19Z,007,"Flag, Blue"
-27.720496,152.439637,194.687531,2017-12-21T01:55:47Z,008,"Flag, Blue"
-27.720524,152.439632,189.765167,2017-12-21T01:57:06Z,009,"Flag, Blue"
-27.720532,152.439668,192.948944,2017-12-21T01:57:59Z,010,"Flag, Blue"
-27.720494,152.439651,195.461075,2017-12-21T01:58:37Z,011,"Flag, Blue"
-27.720424,152.439535,192.749207,2017-12-21T02:38:14Z,012,"Flag, Blue"
-27.720481,152.439488,191.618256,2017-12-21T02:39:12Z,013,"Flag, Blue"
-27.720630,152.439479,204.295166,2017-12-21T02:49:14Z,014,"Flag, Blue"
-27.720679,152.439454,201.513855,2017-12-21T03:01:14Z,015,"Flag, Blue"
-27.720643,152.439448,197.733978,2017-12-21T03:02:00Z,016,"Flag, Blue"
-27.720631,152.439595,198.599030,2017-12-21T03:06:48Z,017,"Flag, Blue"
-27.720523,152.439404,205.187027,2017-12-21T03:14:06Z,018,"Flag, Blue"
-27.720657,152.439298,203.093491,2017-12-21T03:20:28Z,019,"Flag, Blue"
-27.720494,152.439425,207.264099,2017-12-21T03:27:00Z,020,"Flag, Blue"
-27.720502,152.439359,200.230530,2017-12-21T03:31:27Z,021,"Flag, Blue"
-27.720531,152.439282,201.355682,2017-12-21T03:32:19Z,022,"Flag, Blue"
-27.720494,152.439316,197.447449,2017-12-21T03:44:03Z,023,"Flag, Blue"
-27.720468,152.439398,196.305786,2017-12-21T03:44:17Z,024,"Flag, Blue"
-27.720415,152.439441,201.950867,2017-12-21T03:50:07Z,025,"Flag, Blue"
-27.720359,152.439410,199.544006,2017-12-21T03:55:06Z,026,"Flag, Blue"
-27.720368,152.439436,197.657684,2017-12-21T03:55:22Z,027,"Flag, Blue"
-27.720291,152.439477,207.422867,2017-12-21T04:02:16Z,028,"Flag, Blue"
-27.720280,152.439731,200.990204,2017-12-21T04:11:01Z,029,"Flag, Blue"
-27.720308,152.439723,198.904022,2017-12-21T04:19:18Z,030,"Flag, Blue"
